row_type,model,display_name,threshold,metric,value,fpr,tpr,precision,recall,tn,fp,fn,tp,accuracy,f1,ms_per_frame
precision_recall_point,original,SIRCH original (epoch 4),0.000704584235791117,pr_point_24,,,,0.52,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0007090420695021749,pr_point_25,,,,0.5209059233449478,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0007137559005059302,pr_point_26,,,,0.5218150087260035,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0007462124922312796,pr_point_27,,,,0.5227272727272727,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.000747253536246717,pr_point_28,,,,0.5236427320490368,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.000768659170717001,pr_point_29,,,,0.5245614035087719,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.000820246699731797,pr_point_30,,,,0.5254833040421792,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0008208088111132383,pr_point_31,,,,0.5264084507042254,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0008321135537698865,pr_point_32,,,,0.527336860670194,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0008632660028524697,pr_point_33,,,,0.5282685512367491,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0008825634140521288,pr_point_34,,,,0.5292035398230088,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0009206653339788318,pr_point_35,,,,0.5301418439716312,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0009288258734159172,pr_point_36,,,,0.5310834813499112,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0009902262827381492,pr_point_37,,,,0.5320284697508897,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0009999951580539346,pr_point_38,,,,0.5329768270944741,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0010199438547715545,pr_point_39,,,,0.5339285714285714,1.0,,,,,,,
